year,make,model,condition,transmission,body,color,interior,odometer,mmr,Vacant,sellingprice
2015,Kia,Sorento,5,automatic,SUV,white,black,16639,20500,1,21500
2015,Kia,Sorento,5,automatic,SUV,white,beige,9393,20800,43,21500
2014,BMW,3 Series,4.5,automatic,Sedan,gray,black,1331,31900,43,30000
2015,Volvo,S60,4.1,automatic,Sedan,white,black,14282,27500,43,27750
2014,BMW,6 Series Gran Coupe,4.3,automatic,Sedan,gray,black,2641,66000,43,67000
2015,Nissan,Altima,1,automatic,Sedan,gray,black,5554,15350,43,10900
2014,BMW,M5,3.4,automatic,Sedan,black,black,14943,69000,43,65000
2014,Chevrolet,Cruze,2,automatic,Sedan,black,black,28617,11900,43,9800
2014,Audi,A4,4.2,automatic,Sedan,white,black,9557,32100,29,32250
2014,Chevrolet,Camaro,3,automatic,Convertible,red,black,4809,26300,43,17500
2014,Audi,A6,4.8,automatic,Sedan,black,black,14414,47300,43,49750
2015,Kia,Optima,4.8,automatic,Sedan,red,tan,2034,15150,43,17700
2015,Ford,Fusion,2,automatic,Sedan,white,beige,5559,15350,43,12000
2015,Kia,Sorento,5,automatic,SUV,silver,black,14634,20600,43,21500
2014,Chevrolet,Cruze,2.4,automatic,Sedan,blue,black,15686,13900,43,10600
2015,Nissan,Altima,2,automatic,Sedan,black,black,11398,14750,43,14100
2015,Hyundai,Sonata,5.6,automatic,Sedan,red,black,8311,15200,43,4200
2014,Audi,Q5,4.9,automatic,SUV,white,black,7983,37100,43,40000
2014,Chevrolet,Camaro,1.7,automatic,Coupe,black,black,13441,17750,20,17000
2014,BMW,6 Series,3.4,automatic,Convertible,black,black,8819,68000,43,67200
2015,Chevrolet,Impala,1.9,automatic,Sedan,silver,black,14538,24300,43,7200
2014,BMW,5 Series,2.9,automatic,Sedan,black,black,25969,34200,43,30000
2014,Chevrolet,Camaro,3.5,automatic,Convertible,black,black,33450,20100,43,14700
2015,Audi,A3,4.9,automatic,Sedan,gray,black,5826,24000,43,23750
2014,BMW,6 Series,3.8,automatic,Convertible,black,black,10736,67000,26,65000
2015,Hyundai,Sonata,3.5,automatic,Sedan,silver,gray,9281,15150,43,8500
2015,Volvo,XC70,4.2,automatic,Wagon,brown,brown,16506,32100,43,32500
2015,Volvo,XC70,4.8,automatic,Wagon,beige,beige,12725,32300,8,32500
2014,BMW,X5,3.5,automatic,SUV,gray,black,11278,50400,43,34000
2014,Chevrolet,Camaro,4.2,automatic,Coupe,gray,black,11874,22200,43,19500
2014,Chevrolet,Cruze,4.2,automatic,Sedan,gray,black,37888,11600,8,11500
2014,Audi,SQ5,4.2,automatic,SUV,white,black,9606,48600,43,47500
2015,Kia,Sorento,5,automatic,SUV,red,black,13757,20600,43,20750
2014,Audi,S5,3.8,automatic,Coupe,black,black,5875,46500,43,44500
2015,Kia,Sorento,4.4,automatic,SUV,gray,black,12862,20700,43,21000
2014,Buick,Verano,2,,Sedan,gray,gray,19531,15000,43,9200
2015,Chevrolet,Suburban,4.5,automatic,SUV,black,black,11426,57300,43,59900
2014,BMW,3 Series,5,automatic,Sedan,black,â€”,111,32200,43,30500
2014,BMW,M5,3.8,automatic,Sedan,black,black,16360,65000,40,64250
2014,BMW,3 Series,4.5,automatic,Sedan,white,black,9027,30200,22,27500
2014,Cadillac,ELR,4.7,automatic,Coupe,gray,black,4436,49400,42,44000
2015,Hyundai,Sonata,3.5,automatic,Sedan,silver,gray,9208,15700,43,10000
2014,BMW,6 Series,3.2,automatic,Convertible,white,black,13205,66000,43,65000
2015,Volvo,V60,4.1,automatic,Wagon,white,beige,11846,31300,23,30000
2014,Chevrolet,Cruze,3.5,,Sedan,white,â€”,38261,11450,43,2000
2014,BMW,X6,4,automatic,SUV,white,black,379,54800,43,51700
2015,Volvo,V60,4.2,automatic,Wagon,black,gray,12242,31200,35,30000
2014,Chevrolet,Cruze,3.4,automatic,Sedan,silver,black,40661,13050,43,13000
2014,Acura,ILX,2.5,automatic,Sedan,gray,black,9051,22700,43,21250
2015,Kia,Sorento,5,automatic,SUV,silver,black,13878,20600,43,20750
2015,Volvo,V60,3.7,automatic,Wagon,silver,black,10906,31500,43,30000
2015,Nissan,Altima,3.5,automatic,Sedan,gray,black,10678,15150,3,11600
2014,BMW,6 Series Gran Coupe,4.2,automatic,Sedan,white,black,7305,65000,43,66100
2015,Nissan,Altima,1,automatic,Sedan,black,black,4314,15500,43,11500
2015,Kia,K900,4.2,automatic,Sedan,blue,black,5304,39500,23,40000
2015,Kia,Sorento,4.8,automatic,SUV,silver,gray,10357,20700,7,20500
2015,Chevrolet,Malibu,1,automatic,Sedan,silver,black,6105,16600,34,9800
2015,Lexus,RX 350,4.3,automatic,SUV,white,black,7770,41200,43,38400
2015,Kia,Sorento,5,automatic,SUV,white,black,5214,19400,43,19300
2014,BMW,M5,4.7,automatic,Sedan,gray,black,7766,71000,40,77250
2015,Kia,K900,4.4,automatic,Sedan,white,gray,9684,41000,43,41000
2015,Audi,A3,2,automatic,Sedan,white,black,31,24200,43,17300
2015,Nissan,Versa,3.9,manual,Sedan,purple,black,1608,10900,43,11000
2014,Chevrolet,Camaro,3.1,automatic,Coupe,black,black,9914,22500,42,20600
2015,Hyundai,Elantra,1,automatic,Sedan,silver,gray,7879,13800,43,10500
2015,Kia,Sorento,5,automatic,SUV,white,black,14176,20600,38,21250
2014,Chevrolet,Camaro,4.1,automatic,Coupe,gray,black,17594,21500,43,19600
2015,Audi,A3,5,automatic,Sedan,gray,black,1906,24100,43,25750
2014,BMW,6 Series,4,automatic,Convertible,black,black,8037,67000,43,65000
2015,Nissan,Versa Note,2,automatic,Hatchback,red,black,5773,12050,43,9000
2014,Audi,A8,4.3,automatic,Sedan,black,black,32918,62000,43,50000
2014,BMW,X1,4.8,automatic,SUV,white,black,19689,23700,43,26500
2014,BMW,,4.3,automatic,Sedan,black,black,12172,67000,26,66000
2014,Chevrolet,Camaro,1,automatic,Coupe,red,gray,20595,20800,26,13600
2015,Volvo,V60,4,automatic,Wagon,silver,black,13623,28400,43,28000
2014,BMW,6 Series,4,automatic,Coupe,black,â€”,9837,62000,43,61500
2014,Chevrolet,Camaro,3,automatic,Coupe,black,black,13606,21400,43,13000
2014,BMW,6 Series Gran Coupe,2.9,automatic,Sedan,white,black,37752,62000,43,58000
2015,Kia,Sorento,4.4,automatic,SUV,silver,black,9161,20800,43,22250
2015,Kia,Sorento,5,automatic,SUV,white,black,11001,20700,43,22500
2014,Buick,Enclave,1,automatic,SUV,gray,black,14599,31000,43,24100
2014,BMW,M5,3.8,automatic,Sedan,white,black,13386,67000,43,65000
2014,BMW,M5,4.1,automatic,Sedan,white,black,15161,66000,43,65801
2014,Audi,TTS,2.8,automatic,Coupe,silver,black,3996,41400,22,34250
2015,Hyundai,Elantra,2,automatic,Sedan,red,gray,10551,13850,1,10600
2014,BMW,4 Series,3.7,automatic,Coupe,white,black,18152,31000,43,39750
2015,Kia,Sorento,4.6,automatic,SUV,silver,black,13452,20600,43,21500
2014,Chevrolet,Cruze,4.1,automatic,Sedan,black,black,37938,12950,43,13700
2014,Chevrolet,Cruze,4.2,automatic,Sedan,blue,black,39623,13350,43,13200
2014,Chevrolet,Silverado 2500HD,3.6,,Crew Cab,white,gray,8742,34000,40,34000
2015,Kia,Sorento,5,automatic,SUV,gray,gray,16348,20500,43,20500
2015,Hyundai,Elantra,3.5,automatic,Sedan,blue,gray,9750,13700,42,10000
2015,Hyundai,Elantra,3.5,automatic,Sedan,silver,gray,3367,13900,18,13200
2014,Acura,MDX,4.9,automatic,SUV,white,gray,21523,39500,43,41500
2015,Ford,Fusion,1,automatic,Sedan,white,black,4205,14700,7,12000
2014,BMW,6 Series,3.7,automatic,Convertible,silver,black,8891,68000,10,67200
2014,Chevrolet,Cruze,2,automatic,Sedan,silver,black,8154,14150,24,10000
2014,Chevrolet,Silverado 1500,3.7,automatic,Crew Cab,black,black,6726,26900,43,30250
2014,Chevrolet,Cruze,3.7,automatic,Sedan,silver,black,36771,13000,43,13600
2015,Kia,Sorento,4.9,automatic,SUV,burgundy,beige,9552,20800,43,21000
